age,job,marital,education,default,balance,housing,loan
58,4,1,2,0,2143,1,0
44,9,2,1,0,29,1,0
33,2,1,1,0,2,1,1
47,1,1,3,0,1506,1,0
33,11,2,3,0,1,0,0
35,4,1,2,0,231,1,0
28,4,2,2,0,447,1,1
42,2,0,2,1,2,1,0
58,5,1,0,0,121,1,0
43,9,2,1,0,593,1,0
41,0,0,1,0,270,1,0
29,0,2,1,0,390,1,0
53,9,1,1,0,6,1,0
58,9,1,3,0,71,1,0
57,7,1,1,0,162,1,0
51,5,1,0,0,229,1,0
45,0,2,3,0,13,1,0
57,1,1,0,0,52,1,0
60,5,1,0,0,60,1,0
33,7,1,1,0,0,1,0
28,1,1,1,0,723,1,1
56,4,1,2,0,779,1,0
32,1,2,0,0,23,1,1
25,7,1,1,0,50,1,0
40,5,1,0,0,0,1,1
44,0,1,1,0,-372,1,0
39,4,2,2,0,255,1,0
52,2,1,1,0,113,1,1
46,4,2,1,0,-246,1,0
36,9,2,1,0,265,1,1
57,9,1,1,0,839,0,1
49,4,1,2,0,378,1,0
60,0,1,1,0,39,1,1
59,1,1,1,0,0,1,0
51,4,1,2,0,10635,1,0
57,9,0,1,0,63,1,0
25,1,1,1,0,-7,1,0
53,9,1,1,0,-3,0,0
36,0,0,1,0,506,1,0
37,0,2,1,0,0,1,0
44,7,0,1,0,2586,1,0
50,4,1,1,0,49,1,0
60,1,1,3,0,104,1,0
54,5,1,1,0,529,1,0
58,5,1,3,0,96,1,0
36,0,2,0,0,-171,1,0
58,6,1,2,0,-364,1,0
44,9,1,1,0,0,1,0
55,9,0,1,0,0,0,0
29,4,2,2,0,0,1,0
54,1,1,1,0,1291,1,0
48,4,0,2,0,-244,1,0
32,4,1,2,0,0,1,0
42,0,2,1,0,-76,1,0
24,9,2,1,0,-103,1,1
38,2,2,2,0,243,0,1
38,4,2,2,0,424,1,0
47,1,1,3,0,306,1,0
40,1,2,3,0,24,1,0
46,7,1,0,0,179,1,0
32,0,1,2,0,0,1,0
53,9,0,1,0,989,1,0
57,1,1,0,0,249,1,0
33,7,1,1,0,790,1,0
49,1,1,3,0,154,1,0
51,4,1,2,0,6530,1,0
60,5,1,2,0,100,0,0
59,4,0,2,0,59,1,0
55,9,1,1,0,1205,1,0
35,1,2,1,0,12223,1,1
57,1,1,1,0,5935,1,1
31,7,1,1,0,25,1,1
54,4,1,1,0,282,1,1
55,1,1,0,0,23,1,0
43,9,1,1,0,1937,1,0
53,9,1,1,0,384,1,0
44,1,1,1,0,582,0,1
55,7,0,1,0,91,0,0
49,7,0,1,0,0,1,1
55,7,0,1,1,1,1,0
45,0,2,1,0,206,1,0
47,7,0,1,0,164,0,0
42,9,2,1,0,690,1,0
59,0,1,1,0,2343,1,0
46,6,1,2,0,137,1,1
51,1,1,0,0,173,1,0
56,0,1,1,0,45,0,0
41,9,1,1,0,1270,1,0
46,4,0,1,0,16,1,1
57,5,1,1,0,486,1,0
42,4,2,1,0,50,0,0
30,9,1,1,0,152,1,1
60,0,1,1,0,290,1,0
60,1,1,3,0,54,1,0
57,2,0,1,0,-37,0,0
36,4,1,2,0,101,1,1
55,1,1,1,0,383,0,0
60,5,1,2,0,81,1,0
39,9,1,1,0,0,1,0
46,4,1,2,0,229,1,0
44,1,1,1,0,-674,1,0
53,1,1,0,0,90,0,0
52,1,1,0,0,128,1,0
59,1,1,0,0,179,1,0
27,9,2,2,0,0,1,0
44,1,1,1,0,54,1,0
47,9,1,2,0,151,1,0
34,0,1,1,0,61,0,1
59,5,2,1,0,30,1,0
45,4,1,2,0,523,1,0
29,7,0,1,0,31,1,0
46,9,0,1,0,79,0,0
56,6,1,0,0,-34,1,1
36,1,1,0,0,448,1,0
59,5,0,0,0,81,1,0
44,1,1,1,0,144,1,0
41,0,1,1,0,351,1,0
33,4,2,2,0,-67,1,0
59,4,0,2,0,262,0,0
57,9,1,0,0,0,0,0
56,9,0,3,0,56,1,0
51,1,1,1,0,26,1,0
34,0,1,3,0,3,1,0
43,7,1,1,0,41,1,1
52,9,1,2,0,7,0,1
33,9,2,1,0,105,1,0
29,0,2,1,0,818,1,1
34,7,1,1,0,-16,1,1
31,1,1,1,0,0,1,0
55,7,1,1,0,2476,1,0
55,4,1,3,0,1185,0,0
32,0,2,1,0,217,1,0
38,9,2,1,0,1685,1,0
55,0,2,1,0,802,1,1
28,10,2,2,0,0,1,0
23,1,1,1,0,94,1,0
32,9,2,1,0,0,1,0
43,7,2,3,0,0,0,0
32,1,1,1,0,517,1,0
46,1,1,1,0,265,1,0
53,3,0,0,0,947,1,0
34,6,2,1,0,3,1,0
57,10,1,2,0,42,0,0
37,1,1,1,0,37,1,0
59,1,1,1,0,57,1,0
33,7,1,1,0,22,1,0
56,1,0,0,0,8,1,0
48,10,1,1,0,293,1,0
43,7,1,0,0,3,1,0
54,1,1,0,0,348,1,0
51,1,1,3,0,-19,1,0
26,8,2,1,0,0,1,0
40,4,1,2,0,-4,1,0
39,4,1,1,0,18,1,0
50,9,1,0,0,139,0,0
41,7,1,1,0,0,1,0
51,1,1,3,0,1883,1,0
60,5,0,1,0,216,1,0
52,1,1,1,0,782,1,0
48,1,1,1,0,904,1,0
48,7,1,3,0,1705,1,0
39,9,2,2,0,47,1,0
47,7,2,1,0,176,1,0
40,1,1,1,0,1225,1,0
45,9,1,1,0,86,1,0
26,0,2,1,0,82,1,0
52,4,1,2,0,271,1,0
54,9,1,1,0,1378,1,0
54,0,1,2,0,184,0,0
50,1,1,0,0,0,0,0
35,1,1,1,0,0,1,0
44,7,1,1,0,1357,1,1
53,2,1,3,0,19,1,0
35,5,2,0,0,434,0,0
60,0,0,1,0,92,1,0
53,0,0,1,0,1151,1,0
48,10,1,1,0,41,1,0
34,9,1,1,0,51,1,0
54,7,1,1,0,214,1,0
51,4,1,1,0,1161,1,0
31,7,1,2,0,37,1,0
35,9,0,1,0,787,1,0
35,7,1,1,0,59,1,0
38,9,1,1,0,253,1,0
36,0,1,2,0,211,1,0
58,5,1,0,0,235,1,0
40,7,0,3,0,4384,1,0
54,4,1,1,0,4080,0,0
34,1,2,1,0,53,1,1
31,4,2,2,0,0,1,0
51,5,1,1,0,2127,1,0
33,4,1,2,0,377,1,0
55,4,1,2,0,73,1,0
42,0,1,1,0,445,1,0
34,1,1,1,0,243,1,0
33,1,2,1,0,307,1,0
38,7,1,1,0,155,1,0
50,9,0,2,0,173,0,1
43,4,1,2,0,400,1,0
61,1,0,0,0,1428,1,0
47,0,1,1,0,219,1,0
48,6,1,2,0,7,1,0
44,1,1,1,0,575,1,0
35,8,2,3,0,298,1,0
35,7,1,1,0,0,1,0
50,7,1,1,0,5699,1,0
41,4,1,2,0,176,1,1
41,4,1,2,0,517,1,0
39,7,2,3,0,257,1,0
42,5,1,1,0,56,1,0
38,1,1,1,0,-390,1,0
53,5,1,1,0,330,1,0
59,3,0,0,0,195,0,0
36,7,1,1,0,301,1,0
54,1,1,0,0,-41,1,0
40,9,1,2,0,483,1,0
47,11,1,3,0,28,0,0
53,10,1,3,0,13,0,0
46,3,1,0,0,965,0,0
39,4,1,2,0,378,1,1
40,10,1,1,0,219,1,0
28,1,1,0,0,324,1,0
35,2,0,1,0,-69,1,0
55,5,1,1,0,0,0,1
43,9,0,3,0,205,1,0
48,1,1,0,0,278,1,0
58,4,1,3,0,1065,1,0
33,4,2,2,0,34,1,0
36,1,1,3,0,1033,0,0
53,7,0,1,0,1467,1,0
47,1,1,0,0,-12,1,0
31,7,1,1,0,388,1,0
57,2,1,1,0,294,1,0
53,1,1,3,0,1827,0,0
55,1,1,0,0,627,1,0
45,1,1,0,0,25,1,0
53,0,0,1,0,315,1,0
37,1,1,0,0,0,1,0
44,0,0,1,0,66,1,0
49,1,0,0,0,-9,1,1
46,9,1,1,0,349,1,1
43,2,1,3,0,100,1,0
38,0,1,1,0,0,0,0
43,9,1,1,0,434,1,0
49,4,1,2,0,3237,1,0
42,4,1,3,0,275,0,0
22,1,2,1,0,0,1,0
40,4,1,2,0,207,1,0
39,1,1,1,0,483,1,0
51,7,1,1,0,2248,1,0
49,0,1,1,0,428,1,0
53,1,1,1,0,0,1,1
34,7,2,1,0,0,1,0
33,9,0,1,0,140,1,0
50,4,2,2,0,297,1,0
39,1,1,0,0,279,1,0
59,2,0,1,0,901,1,0
30,9,2,1,0,2573,1,0
36,7,1,1,0,143,1,1
40,1,1,1,0,475,1,0
53,1,1,1,0,70,1,0
34,4,2,2,0,318,1,0
37,9,1,1,0,275,1,0
42,4,0,2,0,742,1,0
41,2,1,0,0,236,1,0
30,8,2,2,0,25,1,0
37,4,2,2,0,600,1,0
39,0,0,1,0,-349,1,0
41,1,1,0,0,183,1,1
40,1,1,0,0,0,1,0
42,4,2,2,0,0,1,1
40,1,0,0,0,0,1,0
57,9,1,1,0,1078,1,0
56,2,0,1,0,155,0,0
37,0,1,1,0,190,1,0
59,5,1,1,0,319,1,0
39,7,0,1,0,-185,1,0
49,7,1,1,0,47,0,0
38,7,2,1,0,570,1,0
36,6,1,2,0,19,0,0
50,1,1,0,0,61,1,0
41,0,1,1,0,-62,1,1
54,9,1,2,0,258,0,0
58,1,1,0,0,76,1,0
30,1,2,1,0,0,1,0
33,0,2,1,0,352,1,0
47,0,1,1,0,368,1,0
50,9,2,2,0,339,1,0
32,1,1,1,0,1331,1,0
40,6,1,1,0,672,1,0
37,4,1,2,0,58,1,0
54,9,2,3,0,447,1,0
24,8,2,1,0,423,1,0
54,4,1,2,0,0,0,0
34,9,1,1,0,19,1,0
56,9,0,0,0,13,1,0
31,1,2,1,0,3,1,0
24,8,2,1,0,82,1,0
42,1,0,0,0,28,1,0
57,9,1,1,0,792,1,0
42,1,1,3,0,408,1,0
51,0,1,1,0,531,1,0
57,5,1,1,0,211,1,0
36,7,2,1,0,62,1,0
53,7,1,3,0,257,1,0
50,9,1,1,0,1234,1,0
54,4,1,2,0,313,1,0
55,1,1,1,0,89,1,0
44,1,1,1,0,129,1,1
43,4,1,3,0,0,1,0
56,0,1,1,0,353,1,0
54,9,1,3,0,851,1,0
55,7,0,0,0,96,1,1
37,7,0,1,0,398,1,1
33,0,2,2,0,193,0,0
46,0,1,1,0,-358,1,0
36,1,1,1,0,539,1,1
51,9,2,1,0,0,1,0
40,5,2,0,0,0,0,0
42,1,1,1,0,490,1,0
51,1,1,1,0,0,1,0
49,1,1,3,0,403,1,0
48,4,1,1,0,161,1,0
32,9,0,2,0,2558,0,0
31,0,2,1,0,98,1,0
55,4,2,2,0,115,0,0
40,1,2,1,0,436,1,0
47,9,1,2,0,831,1,0
57,9,1,3,0,206,1,0
41,1,1,1,0,290,1,0
48,1,1,1,0,1,0,0
42,1,1,3,0,57,1,0
30,1,2,1,0,-457,1,0
58,4,2,2,0,1387,1,0
45,4,0,2,0,24598,1,0
49,1,1,1,0,30,1,0
42,0,2,1,0,1022,1,0
53,9,1,1,0,56,1,1
51,0,2,1,1,-2,0,0
32,7,2,1,0,121,1,0
41,1,2,1,0,842,1,0
43,4,0,1,0,693,1,0
40,1,0,1,0,-333,1,0
50,1,1,0,0,1533,1,0
34,4,1,2,0,46,1,0
53,7,1,3,0,18,0,0
45,9,1,1,0,44,1,0
39,1,1,0,0,-100,1,0
44,7,1,2,0,510,1,0
55,4,1,2,0,685,1,0
46,4,2,2,0,187,1,0
45,1,1,1,0,66,1,0
34,0,1,1,0,560,1,0
36,1,1,1,0,0,1,0
59,11,0,3,0,27,0,0
31,0,2,1,0,12,1,0
44,1,2,1,0,34,1,0
33,2,2,2,0,1068,1,0
40,1,1,1,0,211,1,0
46,0,2,2,0,377,1,0
48,4,1,2,0,263,1,0
42,7,1,1,0,1263,1,0
27,7,1,1,0,8,1,0
48,0,1,1,0,126,1,1
59,0,1,1,0,230,1,0
46,9,1,2,0,841,1,0
38,0,0,1,0,308,1,0
43,4,0,2,0,1,1,0
38,0,0,2,0,86,1,0
23,8,2,1,0,157,1,0
34,7,1,1,0,22,1,0
38,0,1,1,0,46,1,1
37,1,1,1,0,1293,0,0
25,0,2,1,0,122,1,0
48,1,1,3,0,131,1,0
49,1,2,1,0,143,1,0
38,0,2,1,0,393,0,0
43,1,1,0,0,98,1,0
33,4,1,2,0,0,1,0
55,1,1,1,0,224,1,0
38,1,1,1,0,757,1,0
49,7,1,1,0,245,1,1
40,4,1,1,0,8486,0,0
43,0,1,3,0,350,0,0
38,1,1,1,0,20,1,0
58,7,1,1,0,1667,1,1
57,9,1,3,0,345,1,0
32,10,1,1,0,10,1,0
56,4,1,2,0,830,1,1
58,1,0,3,0,29,1,0
60,5,0,1,0,545,1,0
37,9,1,2,0,8730,1,0
46,9,0,2,0,477,1,0
27,0,1,1,0,4,1,0
43,1,1,1,0,1205,1,0
32,9,2,1,0,0,1,1
40,0,2,1,0,263,1,0
38,0,1,1,0,1,0,0
34,1,1,1,0,283,0,1
47,1,1,0,0,206,1,0
42,3,1,0,0,17,1,0
48,9,1,1,0,141,1,1
29,6,2,2,0,16,1,0
50,7,1,1,0,206,1,0
52,9,1,3,0,7,0,0
50,4,1,2,0,0,0,0
58,5,1,2,0,0,0,0
46,1,0,0,0,1927,1,0
38,9,1,1,0,284,1,0
46,1,1,1,0,1660,1,0
32,7,2,1,0,406,1,0
51,1,1,0,0,230,1,0
39,0,2,1,0,-25,1,0
48,0,1,1,0,182,1,0
36,2,1,2,0,1169,1,0
34,0,0,1,0,67,1,0
40,9,1,1,0,77,0,0
43,10,1,1,0,0,1,0
52,1,0,0,0,55,1,1
33,9,1,1,1,72,1,0
49,4,2,2,0,163,1,0
32,4,2,2,0,151,1,0
39,0,2,1,0,113,1,0
40,1,1,1,0,0,1,0
38,9,2,2,0,9,1,0
43,4,1,1,0,375,1,0
39,7,1,1,0,1142,1,0
54,1,1,0,0,2102,1,0
38,9,2,2,0,4325,1,0
40,1,1,1,0,217,1,0
55,0,1,1,0,131,1,0
42,4,1,2,0,1680,1,0
39,1,1,1,0,0,1,0
40,1,1,0,0,46,1,0
32,1,1,1,0,320,1,0
55,0,1,1,0,183,1,0
45,1,1,1,0,39,0,0
35,4,2,2,0,560,1,0
58,9,0,1,0,469,0,0
35,0,1,1,0,530,1,0
49,7,1,0,0,61,1,0
34,9,2,2,0,242,1,0
36,1,1,1,0,139,1,0
24,6,2,1,0,0,1,0
34,9,1,1,0,367,1,0
51,0,0,1,0,228,1,0
39,9,2,3,0,45248,1,0
50,6,1,3,0,-84,1,0
32,7,2,1,0,310,1,0
42,1,1,3,0,132,1,0
50,9,1,1,0,797,1,0
40,7,1,1,0,71,0,0
46,4,0,3,0,2,1,0
37,4,1,2,0,231,1,1
34,1,1,1,0,270,1,1
44,1,1,1,0,274,1,1
40,0,2,1,0,-109,1,1
37,9,1,1,0,1,1,0
33,1,2,1,1,-60,0,0
35,1,1,1,0,89,1,0
58,1,0,1,0,-11,0,0
39,1,1,0,0,0,1,0
43,1,1,1,0,-509,1,0
39,10,1,0,0,408,1,0
36,7,2,0,0,58,1,0
57,5,2,1,0,1640,0,1
36,0,2,1,0,20,1,0
50,1,1,0,0,71,1,0
55,1,1,1,0,52,1,0
44,6,1,2,0,292,1,0
44,7,0,1,0,424,1,0
39,3,2,0,0,109,1,0
46,1,1,3,0,1044,1,0
39,1,1,1,0,983,1,0
34,0,1,1,0,869,0,0
40,1,1,0,0,668,1,0
50,4,1,2,0,964,1,0
31,4,2,1,0,301,1,0
37,0,2,1,0,140,1,0
39,4,2,1,0,1877,1,0
51,1,1,0,0,1127,1,0
41,9,1,1,0,871,1,0
41,9,1,1,0,767,1,1
43,1,1,1,0,0,0,0
30,7,2,1,0,209,1,0
54,4,0,0,0,0,0,0
43,1,0,1,0,110,1,1
59,4,0,2,0,-76,1,1
47,9,1,3,0,178,1,0
40,1,1,0,0,-66,1,0
32,9,1,1,0,0,1,0
29,1,1,1,0,1,1,0
36,1,1,1,0,0,1,0
55,10,1,2,0,5345,0,0
30,1,0,1,0,-209,1,0
39,0,2,1,0,0,1,0
39,1,0,1,0,42,1,0
50,1,0,1,0,41,1,0
44,1,1,1,0,-99,1,0
37,9,2,1,0,17,1,0
46,0,1,0,0,276,1,1
32,9,2,3,0,-170,0,0
37,4,2,2,0,230,1,1
29,1,1,1,0,9,1,0
41,1,1,1,0,946,1,0
45,1,1,0,0,1297,1,0
57,5,0,1,0,-331,1,0
48,1,2,1,0,44,1,0
60,5,1,1,1,15,0,0
26,0,2,1,0,712,1,0
58,5,1,1,0,5435,1,0
34,0,1,1,0,507,1,0
55,10,0,1,0,387,1,0
41,1,1,0,0,0,1,1
50,4,0,1,0,1716,1,0
49,2,1,1,0,167,1,1
44,0,1,3,0,40,0,1
44,1,1,0,0,148,1,0
31,9,1,1,0,17,1,1
34,1,2,2,0,1011,1,0
46,4,2,3,0,1527,1,0
42,4,1,2,0,744,0,0
52,0,1,1,0,484,1,0
29,4,2,2,0,0,1,0
53,5,1,0,0,136,1,0
43,1,1,1,0,1335,1,0
38,4,1,1,0,517,1,0
46,4,1,2,0,459,1,0
48,4,0,3,0,549,1,0
30,0,0,1,0,83,1,1
44,1,1,0,0,213,0,0
31,3,1,0,0,203,1,0
42,7,2,1,0,518,1,0
40,4,2,2,0,3877,1,0
52,0,1,1,0,1236,1,0
45,1,0,1,0,756,1,0
48,1,1,1,0,157,1,0
45,1,1,0,0,-66,1,0
34,1,1,3,0,245,1,0
34,1,1,0,0,-144,1,0
46,1,1,1,0,71,1,0
49,7,0,1,0,505,1,0
50,9,1,0,0,249,1,0
34,0,2,1,0,0,1,0
40,10,2,1,0,11,1,0
36,0,1,1,0,639,1,0
59,1,0,3,0,124,1,0
45,1,1,1,0,82,1,0
36,6,1,2,0,107,1,0
56,7,1,1,0,473,1,0
42,7,0,1,0,372,1,1
30,0,1,1,0,46,1,0
30,8,2,2,0,34,1,0
47,6,1,3,0,935,1,0
33,1,1,1,0,-10,1,0
36,0,1,1,0,-106,1,0
39,7,0,0,0,471,1,0
56,0,0,1,0,778,1,0
39,1,0,3,0,170,1,0
42,9,1,1,0,315,1,0
52,1,1,1,0,3165,0,0
36,0,0,1,0,131,1,0
35,2,1,1,1,204,1,0
47,9,1,1,0,83,1,0
59,7,0,1,0,0,1,1
57,1,1,0,0,5431,1,1
38,4,1,3,0,1759,1,0
46,10,1,1,0,-125,1,0
34,1,1,1,0,0,0,0
28,7,2,1,0,5090,1,0
38,9,1,3,0,573,1,0
56,1,1,1,0,1602,1,0
41,1,2,0,1,-137,1,1
52,9,1,3,0,0,0,0
54,7,1,1,0,193,0,0
61,5,1,1,0,195,1,1
53,2,1,1,0,288,0,0
47,9,1,1,0,19,1,0
53,1,1,0,0,25,1,0
46,7,1,1,0,216,1,0
39,1,0,0,0,190,1,1
56,9,0,1,0,99,1,0
55,7,0,0,0,2298,1,0
44,4,1,2,0,17,1,0
37,9,1,0,0,0,1,0
35,1,1,0,0,0,1,0
55,1,1,1,0,840,1,0
37,7,1,1,0,358,1,0
30,9,2,1,0,0,1,0
37,1,1,0,0,-325,1,1
