age,job,marital,education,default,balance,housing,loan,duration
58,4,1,2,0,2143,1,0,261
44,9,2,1,0,29,1,0,151
33,2,1,1,0,2,1,1,76
47,1,1,3,0,1506,1,0,92
33,11,2,3,0,1,0,0,198
35,4,1,2,0,231,1,0,139
28,4,2,2,0,447,1,1,217
42,2,0,2,1,2,1,0,380
58,5,1,0,0,121,1,0,50
43,9,2,1,0,593,1,0,55
41,0,0,1,0,270,1,0,222
29,0,2,1,0,390,1,0,137
53,9,1,1,0,6,1,0,517
58,9,1,3,0,71,1,0,71
57,7,1,1,0,162,1,0,174
51,5,1,0,0,229,1,0,353
45,0,2,3,0,13,1,0,98
57,1,1,0,0,52,1,0,38
60,5,1,0,0,60,1,0,219
33,7,1,1,0,0,1,0,54
28,1,1,1,0,723,1,1,262
56,4,1,2,0,779,1,0,164
32,1,2,0,0,23,1,1,160
25,7,1,1,0,50,1,0,342
40,5,1,0,0,0,1,1,181
44,0,1,1,0,-372,1,0,172
39,4,2,2,0,255,1,0,296
52,2,1,1,0,113,1,1,127
46,4,2,1,0,-246,1,0,255
36,9,2,1,0,265,1,1,348
57,9,1,1,0,839,0,1,225
49,4,1,2,0,378,1,0,230
60,0,1,1,0,39,1,1,208
59,1,1,1,0,0,1,0,226
51,4,1,2,0,10635,1,0,336
57,9,0,1,0,63,1,0,242
25,1,1,1,0,-7,1,0,365
53,9,1,1,0,-3,0,0,1666
36,0,0,1,0,506,1,0,577
37,0,2,1,0,0,1,0,137
44,7,0,1,0,2586,1,0,160
50,4,1,1,0,49,1,0,180
60,1,1,3,0,104,1,0,22
54,5,1,1,0,529,1,0,1492
58,5,1,3,0,96,1,0,616
36,0,2,0,0,-171,1,0,242
58,6,1,2,0,-364,1,0,355
44,9,1,1,0,0,1,0,225
55,9,0,1,0,0,0,0,160
29,4,2,2,0,0,1,0,363
54,1,1,1,0,1291,1,0,266
48,4,0,2,0,-244,1,0,253
32,4,1,2,0,0,1,0,179
42,0,2,1,0,-76,1,0,787
24,9,2,1,0,-103,1,1,145
38,2,2,2,0,243,0,1,174
38,4,2,2,0,424,1,0,104
47,1,1,3,0,306,1,0,13
40,1,2,3,0,24,1,0,185
46,7,1,0,0,179,1,0,1778
32,0,1,2,0,0,1,0,138
53,9,0,1,0,989,1,0,812
57,1,1,0,0,249,1,0,164
33,7,1,1,0,790,1,0,391
49,1,1,3,0,154,1,0,357
51,4,1,2,0,6530,1,0,91
60,5,1,2,0,100,0,0,528
59,4,0,2,0,59,1,0,273
55,9,1,1,0,1205,1,0,158
35,1,2,1,0,12223,1,1,177
57,1,1,1,0,5935,1,1,258
31,7,1,1,0,25,1,1,172
54,4,1,1,0,282,1,1,154
55,1,1,0,0,23,1,0,291
43,9,1,1,0,1937,1,0,181
53,9,1,1,0,384,1,0,176
44,1,1,1,0,582,0,1,211
55,7,0,1,0,91,0,0,349
49,7,0,1,0,0,1,1,272
55,7,0,1,1,1,1,0,208
45,0,2,1,0,206,1,0,193
47,7,0,1,0,164,0,0,212
42,9,2,1,0,690,1,0,20
59,0,1,1,0,2343,1,0,1042
46,6,1,2,0,137,1,1,246
51,1,1,0,0,173,1,0,529
56,0,1,1,0,45,0,0,1467
41,9,1,1,0,1270,1,0,1389
46,4,0,1,0,16,1,1,188
57,5,1,1,0,486,1,0,180
42,4,2,1,0,50,0,0,48
30,9,1,1,0,152,1,1,213
60,0,1,1,0,290,1,0,583
60,1,1,3,0,54,1,0,221
57,2,0,1,0,-37,0,0,173
36,4,1,2,0,101,1,1,426
55,1,1,1,0,383,0,0,287
60,5,1,2,0,81,1,0,101
39,9,1,1,0,0,1,0,203
46,4,1,2,0,229,1,0,197
44,1,1,1,0,-674,1,0,257
53,1,1,0,0,90,0,0,124
52,1,1,0,0,128,1,0,229
59,1,1,0,0,179,1,0,55
27,9,2,2,0,0,1,0,400
44,1,1,1,0,54,1,0,197
47,9,1,2,0,151,1,0,190
34,0,1,1,0,61,0,1,21
59,5,2,1,0,30,1,0,514
45,4,1,2,0,523,1,0,849
29,7,0,1,0,31,1,0,194
46,9,0,1,0,79,0,0,144
56,6,1,0,0,-34,1,1,212
36,1,1,0,0,448,1,0,286
59,5,0,0,0,81,1,0,107
44,1,1,1,0,144,1,0,247
41,0,1,1,0,351,1,0,518
33,4,2,2,0,-67,1,0,364
59,4,0,2,0,262,0,0,178
57,9,1,0,0,0,0,0,98
56,9,0,3,0,56,1,0,439
51,1,1,1,0,26,1,0,79
34,0,1,3,0,3,1,0,120
43,7,1,1,0,41,1,1,127
52,9,1,2,0,7,0,1,175
33,9,2,1,0,105,1,0,262
29,0,2,1,0,818,1,1,61
34,7,1,1,0,-16,1,1,78
31,1,1,1,0,0,1,0,143
55,7,1,1,0,2476,1,0,579
55,4,1,3,0,1185,0,0,677
32,0,2,1,0,217,1,0,345
38,9,2,1,0,1685,1,0,185
55,0,2,1,0,802,1,1,100
28,10,2,2,0,0,1,0,125
23,1,1,1,0,94,1,0,193
32,9,2,1,0,0,1,0,136
43,7,2,3,0,0,0,0,73
32,1,1,1,0,517,1,0,528
46,1,1,1,0,265,1,0,541
53,3,0,0,0,947,1,0,163
34,6,2,1,0,3,1,0,301
57,10,1,2,0,42,0,0,46
37,1,1,1,0,37,1,0,204
59,1,1,1,0,57,1,0,98
33,7,1,1,0,22,1,0,71
56,1,0,0,0,8,1,0,157
48,10,1,1,0,293,1,0,243
43,7,1,0,0,3,1,0,186
54,1,1,0,0,348,1,0,579
51,1,1,3,0,-19,1,0,163
26,8,2,1,0,0,1,0,610
40,4,1,2,0,-4,1,0,2033
39,4,1,1,0,18,1,0,85
50,9,1,0,0,139,0,0,114
41,7,1,1,0,0,1,0,114
51,1,1,3,0,1883,1,0,57
60,5,0,1,0,216,1,0,238
52,1,1,1,0,782,1,0,93
48,1,1,1,0,904,1,0,128
48,7,1,3,0,1705,1,0,107
39,9,2,2,0,47,1,0,181
47,7,2,1,0,176,1,0,303
